ダウンロードした時刻：2021/09/15 19:31:50

,大阪,大阪,大阪,大阪,大阪,大阪,大阪
2021/5/13,21.1,8,1,3.0,0,8,1
2021/5/14,22.9,8,1,0,1,8,1
2021/5/15,22.8,8,1,0.0,0,8,1
2021/5/16,21.0,8,1,7.5,0,8,1
2021/5/17,23.0,8,1,36.5,0,8,1
2021/5/18,22.2,8,1,1.0,0,8,1
2021/5/19,21.2,8,1,2.5,0,8,1
2021/5/20,20.3,8,1,101.0,0,8,1
2021/5/21,21.3,8,1,95.5,0,8,1
2021/5/22,19.4,8,1,1.5,0,8,1
2021/5/23,21.9,8,1,0,1,8,1
2021/5/24,20.0,8,1,2.0,0,8,1
2021/5/25,21.1,8,1,0.0,0,8,1
2021/5/26,20.5,8,1,0.0,0,8,1
2021/5/27,16.8,8,1,45.0,0,8,1
2021/5/28,20.6,8,1,0,1,8,1
2021/5/29,22.8,8,1,0.0,0,8,1
2021/5/30,21.8,8,1,0,1,8,1
2021/5/31,22.2,8,1,0,1,8,1
2021/6/1,23.2,8,1,0,1,8,1
2021/6/2,23.4,8,1,0,1,8,1
2021/6/3,22.9,8,1,0.5,0,8,1
2021/6/4,20.3,8,1,46.0,0,8,1
2021/6/5,20.7,8,1,0,1,8,1
2021/6/6,22.7,8,1,0.0,0,8,1
2021/6/7,25.0,8,1,0,1,8,1
2021/6/8,26.0,8,1,0,1,8,1
2021/6/9,25.9,8,1,0,1,8,1
2021/6/10,25.2,8,1,0,1,8,1
2021/6/11,24.3,8,1,0.0,0,8,1
2021/6/12,24.6,8,1,0.0,0,8,1
2021/6/13,23.6,8,1,5.5,0,8,1
2021/6/14,24.5,8,1,41.0,0,8,1
2021/6/15,25.3,8,1,0.0,0,8,1
2021/6/16,21.9,8,1,18.0,0,8,1
2021/6/17,24.5,8,1,0.0,0,8,1
2021/6/18,23.5,8,1,1.5,0,8,1
2021/6/19,21.0,8,1,25.0,0,8,1
2021/6/20,23.2,8,1,0,1,8,1
2021/6/21,24.5,8,1,0,1,8,1
2021/6/22,24.1,8,1,0.0,0,8,1
2021/6/23,24.8,8,1,0,1,8,1
2021/6/24,24.7,8,1,0,1,8,1
2021/6/25,25.5,8,1,0.0,0,8,1
2021/6/26,24.1,8,1,0.0,0,8,1
2021/6/27,23.7,8,1,0.0,0,8,1
2021/6/28,24.9,8,1,0.0,0,8,1
2021/6/29,24.6,8,1,6.5,0,8,1
2021/6/30,25.1,8,1,28.0,0,8,1
